1. Mojsijeva 1,1        U početku stvori Bog nebo i zemlju.
1. Samuilova 26,19      Zato sada care gospodaru moj, poslušaj riječi sluge svojega. Ako te Gospod draži na mene, neka mu je ugodan prinos tvoj; ako li sinovi čovječiji, prokleti su pred Gospodom, jer me izagnaše danas da se ne držim našljedstva Gospodnjega, i rekoše: idi, služi tuđim bogovima.
1. Samuilova 26,20      Ali sada da ne padne krv moja na zemlju daleko od očiju Gospodnjih; jer car Izrailjev izide da traži buhu jednu, kao kad ko goni jarebicu po planini.
1. Samuilova 26,21      Tada reče Saul: zgriješio sam; vrati se, sine Davide, neću ti otsele činiti zla, kad ti danas draga bi duša moja; evo, ludo sam radio i pogriješio sam veoma.
1. Samuilova 26,22      A David odgovori i reče: evo koplja careva; neka dođe koji od momaka i neka ga uzme.
1. Samuilova 26,23      A Gospod će platiti svakome po pravdi njegovoj i po vjeri njegovoj. Jer te bješe predao Gospod danas u ruke moje, ali ne htjeh dignuti ruke svoje na pomazanika Gospodnjega.
1. Samuilova 26,24      I zato, evo, kako je danas meni draga bila duša tvoja, tako neka bude draga moja duša pred Gospodom, i neka me izbavi iz svake nevolje.
1. Samuilova 26,25      A Saul reče Davidu: da si blagosloven, sine moj Davide! izvršićeš i nadvladaćeš. Tada David otide svojim putem, a Saul se vrati u svoje mjesto.
1. Samuilova 27,1       Ali David reče u srcu svojem: poginuću kadgod od ruke Saulove; nema bolje za me nego da pobjegnem u zemlju Filistejsku, te će me se Saul okaniti i neće me više tražiti po krajevima Izrailjevijem; tako ću se izbaviti iz ruku njegovijeh.
1. Samuilova 27,2       Tada se podiže David i otide sa šest stotina ljudi koji bijahu s njim k Ahisu sinu Moahovu caru Gatskom.
1. Samuilova 27,3       I osta David kod Ahisa u Gatu i ljudi njegovi, svaki sa svojom porodicom, David sa dvije žene svoje, Ahinoamom iz Jezraela i Avigejom iz Karmila ženom Navalovom.
1. Samuilova 27,4       I kad javiše Saulu da je David utekao u Gat, presta ga tražiti.
1. Samuilova 27,5       A David reče Ahisu: ako sam našao milost pred tobom, neka mi dadu mjesto u kom gradu ove zemlje, da sjedim ondje, jer zašto da sjedi sluga tvoj s tobom u carskom gradu?
1. Samuilova 27,6       I dade mu Ahis onoga dana Siklag. Zato Siklag pripada carevima Judinijem do današnjega dana.
1. Samuilova 27,7       I osta David u zemlji Filistejskoj godinu i četiri mjeseca.
1. Samuilova 27,8       I izlažaše David sa svojim ljudima, i udaraše na Gesureje i Gerzeje i na Amalike; jer ti narodi življahu od starine u onoj zemlji od Sura pa do zemlje Misirske.
1. Samuilova 27,9       I pustošaše David onu zemlju ne ostavljajući u životu ni čovjeka ni žene, i otimaše ovce i volove i magarce i kamile i ruho, i vraćajući se dolažaše k Ahisu.
1. Samuilova 27,10      I Ahis pitaše: gdje ste danas udarali? A David govoraše: na južnu stranu Judinu, i na južnu stranu Jerameilsku, i na južnu stranu Kenejsku.
1. Samuilova 27,11      Ali ne ostavljaše David u životu ni čovjeka ni žene da dovede u Gat govoreći: da nas ne tuže govoreći: tako je uradio David. I taki mu bijaše običaj za sve vrijeme dokle bijaše u zemlji Filistejskoj.
1. Samuilova 27,12      I Ahis vjerovaše Davidu, i govoraše: baš se omrazio s narodom svojim Izrailjem; zato će mi biti sluga dovijeka.
1. Samuilova 28,1       I u ono vrijeme skupiše Filisteji vojsku svoju da zavojšte na Izrailja; i reče Ahis Davidu: znaj da ćeš ići sa mnom na vojsku ti i tvoji ljudi.
1. Samuilova 28,2       A David reče Ahisu: sad ćeš vidjeti šta će učiniti tvoj sluga. A Ahis reče Davidu: zato ću te postaviti da si čuvar glave moje svagda.
1. Samuilova 28,3       A Samuilo bijaše umro, i plaka za njim sav Izrailj, i pogreboše ga u Rami, u njegovu gradu. I Saul bijaše istrijebio iz zemlje gatare i vračare.
1. Samuilova 28,4       I Filisteji skupivši se dođoše i stadoše u oko kod Sunima; skupi i Saul sve Izrailjce, i stadoše u oko kod Gelvuje.
1. Samuilova 28,5       Saul pak videći vojsku Filistejsku uplaši se, i srce mu uzdrhta veoma.
1. Samuilova 28,6       I upita Saul Gospoda, ali mu Gospod ne odgovori ni u snu ni preko Urima, ni preko proroka.
1. Samuilova 28,7       I Saul reče slugama svojim: tražite mi ženu s duhom vračarskim, da otidem k njoj i upitam je. A sluge mu rekoše: evo u Endoru ima žena u kojoj je duh vračarski.
1. Samuilova 28,8       Tada se Saul preruši obukav druge haljine, i otide sa dva čovjeka, i dođe k onoj ženi noću; i on joj reče: hajde vračaj mi duhom vračarskim, i dozovi mi onoga koga ti kažem.
1. Samuilova 28,9       Ali mu žena reče: ta ti znaš šta je učinio Saul i kako je istrijebio iz zemlje gatare i vračare; zašto dakle mećeš zamku duši mojoj da me ubiješ?
1. Samuilova 28,10      A Saul joj se zakle Gospodom govoreći: tako živ bio Gospod! neće ti biti ništa za to.
1. Samuilova 28,11      Tada reče žena: koga da ti dozovem? A on reče: Samuila mi dozovi.
1. Samuilova 28,12      A kad žena vidje Samuila, povika iza glasa, i reče žena Saulu govoreći: zašto si me prevario? ta ti si Saul.
1. Samuilova 28,13      A car joj reče: ne boj se; nego šta si vidjela? A žena reče Saulu: bogove sam vidjela gdje izlaze iz zemlje.
1. Samuilova 28,14      On joj opet reče: kakav je? Ona mu reče: star čovjek izlazi ogrnut plaštem. Tada razumje Saul da je Samuilo, i savi se licem do zemlje i pokloni se.
1. Samuilova 28,15      A Samuilo reče Saulu: zašto si me uznemirio i izazvao? Odgovori Saul: u nevolji sam velikoj, jer Filisteji zavojštiše na me, a Bog je otstupio od mene, i ne odgovori mi više ni preko proroka ni u snu, zato pozvah tebe da mi kažeš šta ću činiti.
1. Samuilova 28,16      A Samuilo reče: pa što mene pitaš, kad je Gospod otstupio od tebe i postao ti neprijatelj?
1. Samuilova 28,17      Gospod je učinio kako je kazao preko mene; jer je Gospod istrgao carstvo iz tvoje ruke i dao ga bližnjemu tvojemu Davidu;
1. Samuilova 28,18      Jer nijesi poslušao glasa Gospodnjega, niti si izvršio žestoka gnjeva njegova na Amaliku; zato ti je danas Gospod to učinio.
1. Samuilova 28,19      I Gospod će predati i Izrailja s tobom u ruke Filistejima; te ćeš sjutra ti i sinovi tvoji biti kod mene; i oko Izrailjski predaće Gospod u ruke Filistejima.
1. Samuilova 28,20      A Saul ujedanput pade na zemlju koliko je dug, jer se vrlo uplaši od riječi Samuilovijeh, i ne bješe snage u njemu, jer ne bješe ništa jeo vas dan i svu noć.
1. Samuilova 28,21      Tada žena pristupi k Saulu, i videći ga vrlo uplašena reče mu: evo, sluškinja te je tvoja poslušala, i nijesam za život svoj marila da bih te poslušala što si mi kazao.
1. Samuilova 28,22      Nego sada i ti poslušaj šta će ti sluškinja tvoja kazati: postaviću ti malo hljeba, te jedi da se okrijepiš da se možeš vratiti svojim putem.
1. Samuilova 28,23      A on ne htje, i reče: neću jesti. Ali navališe na nj sluge njegove i žena, te ih posluša, i ustavši sa zemlje sjede na postelju.
1. Samuilova 28,24      A žena imaše kod kuće tele ugojeno, i brže ga zakla, i uze brašna te umijesi i ispeče hljebove prijesne.
1. Samuilova 28,25      Potom postavi Saulu i slugama njegovijem, te jedoše. A poslije ustaše i otidoše iste noći.
1. Samuilova 29,1       A Filisteji skupiše svu vojsku svoju kod Afeka, a Izrailj stade u oko kod izvora u Jezraelu.
1. Samuilova 29,2       I knezovi Filistejski iđahu sa stotinama i tisućama; a David i njegovi ljudi iđahu najposlije s Ahisom.
1. Samuilova 29,3       I rekoše knezovi Filistejski: što će ti Jevreji? A Ahis reče knezovima Filistejskim: nije li ovo David sluga cara Izrailjskoga Saula, koji je kod mene toliko vremena, toliko godina, i ne nađoh na njemu ništa otkako je dobjegao do ovoga dana?
1. Samuilova 29,4       Ali se rasrdiše na nj knezovi Filistejski i rekoše mu knezovi Filistejski: pošlji natrag toga čovjeka, neka se vrati u svoje mjesto gdje si ga postavio, i neka ne ide s nama u boj, da se ne okrene na nas u boju; jer čim bi se opet umilio gospodaru svojemu ako ne glavama ovijeh ljudi?
1. Samuilova 29,5       Nije li to David o kojem se pjevalo igrajući i govorilo: zgubi Saul svoju tisuću, ali David svojih deset tisuća?
1. Samuilova 29,6       Tada Ahis dozva Davida, i reče mu: tako bio živ Gospod, ti si pošten, i milo mi je da hodiš sa mnom u boj; jer ne nađoh nikakoga zla na tebi otkako si došao do ovoga dana; ali nijesi po volji knezovima.
1. Samuilova 29,7       Nego vrati se i idi s mirom da ne učiniš što što ne bi bilo milo knezovima Filistejskim.
1. Samuilova 29,8       A David reče Ahisu: Ali šta sam učinio? šta li si našao na sluzi svojem otkako sam kod tebe do ovoga dana, da ne idem da se bijem s neprijateljima gospodara svojega cara?
1. Samuilova 29,9       A Ahis odgovarajući reče Davidu: znam; doista si mi mio kao anđeo Božji; ali knezovi Filistejski rekoše: neka ne ide s nama u boj.
1. Samuilova 29,10      Nego ustani sjutra rano sa slugama gospodara svojega koje su došle s tobom; ustanite rano čim svane, pa idite.
1. Samuilova 29,11      I urani David i ljudi njegovi, i otide rano, i vrati se u zemlju Filistejsku; a Filisteji otidoše u Jezrael.
1. Samuilova 30,1       I treći dan dođe David sa svojim ljudima u Siklag, a Amalici bijahu udarili na južnu stranu i na Siklag, i razvalili Siklag i ognjem ga spalili.
1. Samuilova 30,2       I bjehu zarobili ženskinje koje bješe ondje, i malo i veliko; ali ne bjehu ubili nikoga, nego ih bjehu odveli i otišli svojim putem.
1. Samuilova 30,3       I kad David dođe sa svojim ljudima u grad, a to grad spaljen ognjem, i žene njihove i sinovi i kćeri njihove zarobljene.
1. Samuilova 30,4       I podiže David i narod koji bijaše s njim glas svoj, i plakaše dokle već ne mogoše plakati.
1. Samuilova 30,5       I obje žene Davidove zarobiše se, Ahinoama iz Jezraela i Avigeja iz Karmila žena Navalova.
1. Samuilova 30,6       I David bješe na muci velikoj, jer narod govoraše da ga zaspu kamenjem; jer žalostan bješe sav narod, svaki za sinovima svojim i za kćerima svojim; ali se David ohrabri u Gospodu Bogu svojem.
1. Samuilova 30,7       I reče David Avijataru svešteniku sinu Ahimelehovu: uzmi oplećak za me. I uze Avijatar oplećak za Davida.
1. Samuilova 30,8       I upita David Gospoda govoreći: hoću li potjerati tu četu? hoću li je stignuti? A Gospod mu reče: potjeraj, jer ćeš zacijelo stignuti i izbavićeš.
1. Samuilova 30,9       I pođe David sa šest stotina ljudi što bijahu s njim, i dođoše do potoka Vosora; i ondje ostaše jedni.
1. Samuilova 30,10      A David sa četiri stotine ljudi potjera dalje, a dvjesta ljudi osta, koji sustaše te ne mogoše prijeći preko potoka Vosora.
1. Samuilova 30,11      I nađoše jednoga Misirca u polju, i dovedoše ga k Davidu, i dadoše mu hljeba da jede i vode da pije,
1. Samuilova 30,12      I dadoše mu grudu smokava i dva grozda suha. I pojedavši oporavi se, jer tri dana i tri noći ne bješe ništa jeo niti vode pio.
1. Samuilova 30,13      Tada mu reče David: čiji si ti? i odakle si? A on reče: ja sam rodom Misirac, sluga jednoga Amalika, a gospodar me ostavi, jer se razboljeh prije tri dana.
1. Samuilova 30,14      Udarismo na južnu stranu Heretejsku i na Judinu i na južnu stranu Halevovu, i Siklag spalismo ognjem.
1. Samuilova 30,15      A David mu reče: bi li me mogao odvesti k toj četi? A on reče: zakuni mi se Bogom da me nećeš pogubiti ni izdati u ruke mojemu gospodaru, pa ću te odvesti k toj četi.
1. Samuilova 30,16      I odvede ga; i gle, oni se bijahu raširili po svoj zemlji onoj jedući i pijući i veseleći se velikim plijenom koji zaplijeniše iz zemlje Filistejske i iz zemlje Judine.
1. Samuilova 30,17      I David ih bi od večera do večera drugoga dana, te niko ne uteče, osim četiri stotine mladića, koji sjedavši na kamile pobjegoše.
1. Samuilova 30,18      I tako izbavi David sve što bijahu uzeli Amalici, i obje žene svoje izbavi David.
1. Samuilova 30,19      I ništa ne izgubiše, ni malo ni veliko, ni sinove ni kćeri, ni što od plijena i od svega što im bijahu uzeli; sve povrati David.
1. Samuilova 30,20      Također uze David i ostale sve ovce i volove, koje goneći pred svojom stokom govorahu: ovo je plijen Davidov.
1. Samuilova 30,21      I kad se vrati David k onijem dvjesta ljudi koji bjehu sustali te ne mogaše ići za Davidom, i koje ostavi na potoku Vosoru, izidoše na susret Davidu i narodu koji bijaše s njim. I David pristupivši k narodu pozdravi ih.
1. Samuilova 30,22      Tada progovoriše svi zli i nevaljali ljudi između onijeh koji su išli s Davidom, i rekoše: što nijesu išli s nama, zato da im ne damo od plijena koji izbavismo, nego svaki ženu svoju i sinove svoje neka uzmu, pa nek idu.
1. Samuilova 30,23      Ali David reče: nemojte tako činiti, braćo moja, s onijem što nam je dao Gospod koji nas je sačuvao i dao nam u ruke četu koja bješe izašla na nas.
1. Samuilova 30,24      I ko će vas poslušati u tome? jer kakav je dio onome koji ide u boj taki je i onome koji ostane kod prtljaga; jednako treba da podijele.
1. Samuilova 30,25      Tako bi od toga dana unapredak, i to posta uredba i zakon u Izrailju do danas.
1. Samuilova 30,26      I kad dođe David u Siklag, posla on plijena starješinama Judinijem, prijateljima svojim, govoreći: evo vam dar od plijena neprijatelja Gospodnjih;
1. Samuilova 30,27      Onima u Vetilju, i onima u Ramotu na jugu, i onima u Jatiru,
1. Samuilova 30,28      I onima u Aroiru, i onima u Sifmotu, i onima u Estemoji,
1. Samuilova 30,29      I onima u Rahalu, i onima u gradovima Jerameilskim, i onima u gradovima Kenejskim,
1. Samuilova 30,30      I onima u Ormi, i onima u Hor-Asanu, i onima u Atahu,
1. Samuilova 30,31      I onima u Hevronu i po svijem mjestima u koja je dolazio David s ljudima svojim.
1. Samuilova 31,1       A Filisteji se pobiše s Izrailjcima, i pobjegoše Izrailjci ispred Filisteja, i padahu mrtvi na gori Gelvuji.
1. Samuilova 31,2       I stigoše Filisteji Saula i sinove njegove; i pogubiše Filisteji Jonatana i Avinadava i Melhi-Suva, sinove Saulove.
1. Samuilova 31,3       I boj posta žešći oko Saula, i nađoše ga strijelci, i on se vrlo uplaši od strijelaca.
1. Samuilova 31,4       I reče Saul momku koji mu nošaše oružje: izvadi mač svoj i probodi me, da ne dođu ti neobrezani i probodu me i narugaju mi se. Ali ne htje momak što mu nošaše oružje, jer ga bješe vrlo strah. Tada Saul uze mač, i baci se na nj.
1. Samuilova 31,5       A kad momak koji nošaše oružje vidje Saula mrtva, baci se i on na svoj mač i umrije s njim.
1. Samuilova 31,6       Tako pogibe Saul i tri sina njegova i momak koji mu nošaše oružje i svi ljudi njegovi zajedno onoga dana.
1. Samuilova 31,7       A Izrailjci koji bijahu s ovu stranu potoka i s ovu stranu Jordana kad vidješe gdje Izrailjci pobjegoše i gdje pogibe Saul i njegovi sinovi, ostaviše gradove i pobjegoše, te dođoše Filisteji i ostaše u njima.
1. Samuilova 31,8       A sjutradan dođoše Filisteji da svlače mrtve; i nađoše Saula i tri sina njegova gdje leže na gori Gelvuji.
1. Samuilova 31,9       I otsjekoše mu glavu, i skidoše oružje s njega, i poslaše u zemlju Filistejsku na sve strane da se objavi u kući njihovijeh lažnijeh bogova i po narodu.
1. Samuilova 31,10      I ostaviše oružje njegovo u kući Astarotinoj, a tijelo njegovo objesiše na zid Vet-sanski.
1. Samuilova 31,11      A čuše stanovnici u Javisu Galadovu šta učiniše Filisteji od Saula.
1. Samuilova 31,12      I podigoše se svi ljudi hrabri, i išavši svu noć skidoše tijelo Saulovo i tjelesa sinova njegovijeh sa zida Vet-sanskoga, pa se vratiše u Javis, i ondje ih spališe.
1. Samuilova 31,13      I uzeše kosti njihove i pogreboše ih pod drvetom u Javisu, i postiše sedam dana.
2. Samuilova 1,1        A po smrti Saulovoj, kad se David vrati pobivši Amalike i osta u Siklagu dva dana,
2. Samuilova 1,2        Trećega dana, gle, dođe jedan iz vojske Saulove razdrtijeh haljina i glave posute prahom; i došav k Davidu pade na zemlju i pokloni se.
2. Samuilova 1,3        I reče mu David: otkuda ideš? A on mu reče: iz okola Izrailjskoga utekoh.
2. Samuilova 1,4        A David mu reče: šta bi? kaži mi. A on reče: narod pobježe iz boja; i mnogo naroda pade i izgibe, pogibe i Saul i sin mu Jonatan.
2. Samuilova 1,5        A David reče momku koji mu donese glas: kako znaš da je poginuo i sin mu Jonatan?
2. Samuilova 1,6        A momak koji mu donese glas reče: slučajno dođoh na goru Gelvuju, a to se Saul naslonio na koplje svoje, kola i konjici približavahu se k njemu.
2. Samuilova 1,7        A on obazrevši se natrag ugleda me, pa me viknu, a ja mu rekoh: evo me.
2. Samuilova 1,8        A on mi reče: ko si? A ja mu rekoh: Amalik sam.
2. Samuilova 1,9        A on mi reče: pristupi k meni ubij me; jer me obuzeše muke, a još je sasvijem duša u meni.
2. Samuilova 1,10       I pristupih k njemu i ubih ga, jer sam znao da neće ostati živ pošto pade; i uzeh vijenac carski koji mu bješe na glavi i grivnu koja mu bješe na ruci, i evo donesoh gospodaru svojemu.
2. Samuilova 1,11       Tada David zgrabi haljine na sebi i razdrije ih; tako i svi ljudi koji bijahu s njim.
2. Samuilova 1,12       I ridaše i plakaše, i postiše do večeri za Saulom i za Jonatanom sinom njegovijem i za narodom Gospodnjim i za domom Izrailjevijem što izgiboše od mača.
2. Samuilova 1,13       I reče David momku koji mu donese glas: odakle si? A on reče: ja sam sin jednoga došljaka Amalika.
2. Samuilova 1,14       Reče mu David: kako te nije bilo strah podići ruku svoju i ubiti pomazanika Gospodnjega?
2. Samuilova 1,15       I dozva David jednoga između momaka svojih i reče: hodi, pogubi ga. A on ga udari, te umrije.
2. Samuilova 1,16       I reče mu David: krv tvoja na tvoju glavu; jer tvoja usta svjedočiše na te govoreći: ja sam ubio pomazanika Gospodnjega.
2. Samuilova 1,17       Tada David narica ovako za Saulom i za Jonatanom sinom njegovijem,
2. Samuilova 1,18       I izgovori, da bi se učili sinovi Judini luku, i eto je napisano u knjizi istinitoga:
2. Samuilova 1,19       Diko Izrailjeva! na tvojim visinama pobijeni su; kako padoše junaci?
2. Samuilova 1,20       Ne kazujte u Gatu, i ne razglašujte po ulicama Askalonskim, da se ne vesele kćeri Filistejske i da ne igraju kćeri neobrezanijeh.
2. Samuilova 1,21       Gore Gelvujske! ne padala rosa ni dažd na vas, i ne rodilo polje za prinos, jer je tu bačen štit sa junaka, štit Saulov, kao da nije pomazan uljem.
2. Samuilova 1,22       Bez krvi pobijenijeh i bez masti od junaka nije se vraćao luk Jonatanov, niti je mač Saulov dolazio natrag prazan.
2. Samuilova 1,23       Saul i Jonatan, mili i dragi za života, ni za smrti se ne rastaviše; lakši od orlova bijahu.
2. Samuilova 1,24       Kćeri Izrailjeve! plačite za Saulom, koji vas je oblačio u skerlet lijepo, i kitio vas zlatnijem zakladima po haljinama vašim.
2. Samuilova 1,25       Kako padoše junaci u boju! Jonatan kako pogibe na tvojim visinama!
2. Samuilova 1,26       Žao mi je za tobom, brate Jonatane; bio si mi mio vrlo; veća mi je bila ljubav tvoja od ljubavi ženske.
2. Samuilova 1,27       Kako padoše junaci, i propade oružje ubojito!
2. Samuilova 2,1        A poslije toga David upita Gospoda govoreći: hoću li otići u koji grad Judin? A Gospod mu reče: otidi. A David reče: u koji da otidem? Reče: Hevron.
2. Samuilova 2,2        I David otide onamo sa dvije žene svoje, Ahinoamom iz Jezraela i Avigejom koja prije bješe žena Navala iz Karmila.
2. Samuilova 2,3        I ljude koji bijahu s njim odvede David, sve s porodicama njihovijem, i nastaniše se po gradovima Hevronskim.
2. Samuilova 2,4        I dođoše ljudi od Jude, i pomazaše ondje Davida za cara nad domom Judinijem. I javiše Davidu govoreći: ljudi iz Javisa Galadova pogreboše Saula.
2. Samuilova 2,5        I David posla poslanike k ljudima u Javisu Galadovu, i reče im: da ste blagosloveni Gospodu što učiniste milost gospodaru svojemu, Saulu i pogreboste ga.
2. Samuilova 2,6        Zato da učini Gospod vama milost i vjeru; a ja ću vam učiniti dobro, što ste to učinili.
2. Samuilova 2,7        I neka vam se ukrijepe ruke i budite hrabri; jer Saul gospodar vaš pogibe, a dom Judin pomaza mene za cara nad sobom.
2. Samuilova 2,8        Ali Avenir sin Nirov vojvoda Saulov uze Isvosteja sina Saulova, i odvede ga u Mahanajim.
2. Samuilova 2,9        I zacari ga nad Galadom i nad Asurom i Jezraelom i Jefremom i Venijaminom i nad svijem Izrailjem.
2. Samuilova 2,10       Četrdeset godina bješe Isvosteju sinu Saulovu kad poče carovati nad Izrailjem; i carova dvije godine. Samo dom Judin držaše se Davida.
2. Samuilova 2,11       A David carova u Hevronu nad domom Judinijem sedam godina i šest mjeseca.
2. Samuilova 2,12       Potom izide Avenir sin Nirov i sluge Isvosteja sina Saulova iz Mahanajima u Gavaon.
2. Samuilova 2,13       Takođe i Joav sin Serujin i sluge Davidove izidoše i sretoše se s njima kod jezera Gavaonskoga, i stadoše jedan s jedne strane a drugi s druge strane.
2. Samuilova 2,14       Tada reče Avenir Joavu: neka ustanu momci i neka se proigraju pred nama. I reče Joav: neka ustanu.
2. Samuilova 2,15       I ustaše, i izidoše na broj: dvanaest od Venijamina sa strane Isvosteja sina Saulova, i dvanaest između sluga Davidovijeh.
2. Samuilova 2,16       I uhvatiše jedan drugoga za glavu, i tisnu jedan drugomu mač svoj u bok, i popadaše zajedno. Otuda se prozva ono mjesto Halkat-Asurim kod Gavaona.
2. Samuilova 2,17       I bi žestok boj onoga dana; i sluge Davidove razbiše Avenira i Izrailjce.
2. Samuilova 2,18       A ondje bijahu tri sina Serujina: Joav i Avisaj i Asailo. A Asailo bijaše lak na nogu kao srna u polju;
2. Samuilova 2,19       I potjera Asailo Avenira, i ne svrnu ni nadesno ni nalijevo iza Avenira.
2. Samuilova 2,20       I Avenir obazre se natrag i reče: jesi li ti, Asailo? A on reče: ja sam.
2. Samuilova 2,21       A Avenir mu reče: svrni nadesno ili nalijevo, i uzmi jednoga od tijeh momaka, i skini odoru s njega. Ali ne htje Asailo svrnuti iza njega.
2. Samuilova 2,22       I Avenir opet reče Asailu: otstupi od mene; zašto da te sastavim sa zemljom? i kako bih smeo pogledati u Joava brata tvojega?
2. Samuilova 2,23       Ali on ne htje otstupiti; i Avenir ga udari kopljem pod peto rebro, i izađe mu koplje na leđa, te on pade ondje i umrije na mjesto. I ko god dođe na ono mjesto gdje pade i pogibe Asailo, ustavljaše se.
2. Samuilova 2,24       Ali Joav i Avisaj potjeraše Avenira, i sunce zađe kad dođoše do brda Ame, koja je prema Giji na putu u pustinju Gavaonsku.
2. Samuilova 2,25       I skupiše se sinovi Venijaminovi za Avenirom, te se načini četa, i stadoše na vrh jednoga brda.
2. Samuilova 2,26       I Avenir viknu Joava i reče: hoće li mač proždirati dovijeka? ne znaš li da jadi bivaju napošljetku? zašto već ne kažeš narodu da se prođu braće svoje?
2. Samuilova 2,27       A Joav reče: tako živ bio Bog, da nijesi kazao, narod bi još jutros otišao, nijedan ne bi tjerao brata svojega.
2. Samuilova 2,28       Tada zatrubi Joav u trubu, i ustavi se sav narod i prestaše tjerati Izrailja, i ne biše se više.
2. Samuilova 2,29       I tako Avenir i ljudi njegovi idoše preko polja cijelu onu noć, i prijeđoše preko Jordana, i prošavši sav Vitron dođoše u Mahanajim.
2. Samuilova 2,30       A Joav se vrati od Avenira, i kad skupi sav narod, ne bješe od sluga Davidovijeh devetnaest ljudi i Asaila.
2. Samuilova 2,31       Ali sluge Davidove pobiše sinova Venijaminovijeh, ljudi Avenirovijeh, tri stotine i šezdeset ljudi, koji izgiboše.
2. Samuilova 2,32       A Asaila uzeše i pogreboše u grobu oca njegova koji bijaše u Vitlejemu. I Joav i ljudi njegovi idoše svu noć, i osvanuše u Hevronu.
2. Samuilova 3,1        I dugo bijaše rat između doma Saulova i doma Davidova; ali David sve većma jačaše a dom Saulov postajaše sve slabiji.
2. Samuilova 3,2        I Davidu se rodiše sinovi u Hevronu: prvenac mu bješe Amnon od Ahinoame Jezraeljanke;
2. Samuilova 3,3        Drugi bješe Hileav od Avigeje žene Navala Karmilca; treći Avesalom sin Mahe kćeri Talmaja cara Gesurskoga;
2. Samuilova 3,4        Četvrti Adonija sin Agitin; i peti Sefatija sin Avitalin;
2. Samuilova 3,5        I šesti Itram od Egle žene Davidove. Ti se rodiše Davidu u Hevronu.
2. Samuilova 3,6        I dok bijaše rat između doma Saulova i doma Davidova, Avenir branjaše dom Saulov.
2. Samuilova 3,7        A Saul imaše inoču po imenu Resfu kćer Ajinu; i Isvostej reče Aveniru: zašto si spavao kod inoče oca mojega?
2. Samuilova 3,8        I Avenir se razgnjevi na riječi Isvostejeve i reče: jesam li ja pasja glava, koji sada činim na Judi milost domu Saula oca tvojega i braći njegovoj i prijateljima njegovijem, i nijesam te pustio u ruke Davidove, te danas tražiš na meni zlo radi te žene?
2. Samuilova 3,9        Tako neka učini Bog Aveniru, i tako neka doda, ako ne učinim Davidu kako mu se Gospod zakleo,
2. Samuilova 3,10       Da se prenese ovo carstvo od doma Saulova, i da se utvrdi prijesto Davidov nad Izrailjem i nad Judom, od Dana do Virsaveje.
2. Samuilova 3,11       I on ne može više ništa odgovoriti Aveniru, jer ga se bojaše.
2. Samuilova 3,12       I Avenir posla poslanike k Davidu od sebe i poruči: čija je zemlja? I poruči mu: učini vjeru sa mnom, i evo ruka će moja biti s tobom, da obratim k tebi svega Izrailja.
2. Samuilova 3,13       A on odgovori: dobro; ja ću učiniti vjeru s tobom; ali jedno ištem od tebe, i to: da ne vidiš lica mojega ako mi prvo ne dovedeš Mihalu kćer Saulovu, kad dođeš da vidiš lice moje.
2. Samuilova 3,14       I posla David poslanike k Isvosteju sinu Saulovu, i poruči mu: daj mi ženu moju Mihalu, koju isprosih za sto okrajaka Filistejskih.
2. Samuilova 3,15       I Isvostej posla te je uze od muža, od Faltila, sina Laisova.
2. Samuilova 3,16       A muž njezin pođe s njom, i jednako plakaše za njom do Vaurima. Tada mu reče Avenir: idi, vrati se natrag. I on se vrati.
2. Samuilova 3,17       Potom Avenir govori starješinama Izrailjskim, i reče im: pređe tražiste Davida da bude car nad vama.
2. Samuilova 3,18       Eto sada učinite; jer je Gospod rekao za Davida govoreći: preko Davida sluge svojega izbaviću narod svoj Izrailja iz ruku Filistejskih i iz ruku svih neprijatelja njihovijeh.
2. Samuilova 3,19       Tako govori Avenir i sinovima Venijaminovijem. Potom otide Avenir i u Hevron da kaže Davidu sve što za dobro nađe Izrailj i sav dom Venijaminov.
2. Samuilova 3,20       I kad dođe Avenir k Davidu u Hevron i s njim dvadeset ljudi, učini David gozbu Aveniru i ljudima koji bijahu s njim.
2. Samuilova 3,21       I reče Avenir Davidu: da ustanem i idem da skupim k caru gospodaru svojemu sav narod Izrailjev da učine vjeru s tobom, pa da caruješ kako ti duša želi. I David otpusti Avenira da ide s mirom.
2. Samuilova 3,22       A gle, sluge Davidove vraćahu se s Joavom iz boja, i tjerahu sa sobom velik plijen; a Avenir već ne bješe kod Davida u Hevronu, jer ga otpusti, te otide s mirom.
2. Samuilova 3,23       Joav dakle i sva vojska što bješe s njim dođoše onamo; i javiše Joavu govoreći: Avenir sin Nirov dolazio je k caru, i on ga otpusti te otide s mirom.
2. Samuilova 3,24       I Joav otide k caru i reče: šta učini? Gle, Avenir je dolazio k tebi; zašto ga pusti te otide?
2. Samuilova 3,25       Poznaješ li Avenira sina Nirova? dolazio je da te prevari, da vidi kuda hodiš i da dozna sve što radiš.
2. Samuilova 3,26       Potom otišav Joav od Davida posla ljude za Avenirom da ga vrate od studenca Sire, a David ne znadijaše za to.
2. Samuilova 3,27       I kad se vrati Avenir u Hevron, odvede ga Joav na stranu pod vrata kao da govori s njim nasamo; ondje ga udari pod peto rebro, te umrije za krv Asaila brata njegova.
2. Samuilova 3,28       A kad David poslije to ču, reče: ja nijesam kriv ni carstvo moje pred Gospodom dovijeka za krv Avenira sina Nirova.
